2025-08-08T22:43:59.4151505Z Container start method called.
2025-08-08T22:43:59.4718303Z Establishing network.
2025-08-08T22:43:59.4727665Z Pulling image: appsvc/python:3.11_20250723.2.tuxprod.
2025-08-08T22:45:49.9409839Z Image appsvc/python:3.11_20250723.2.tuxprod is pulled from registry 10.1.0.4:13209
2025-08-08T22:45:49.9511893Z Container is starting.
2025-08-08T22:45:49.9600526Z Establishing user namespace if not established already.
2025-08-08T22:45:49.9702017Z Establishing network if not established already.
2025-08-08T22:45:49.9790574Z Mounting volumes.
2025-08-08T22:45:49.9883550Z Nested mountpoint 
2025-08-08T22:45:50.0188076Z Nested mountpoint volatile/logs
2025-08-08T22:45:50.0298982Z Nested mountpoint 
2025-08-08T22:45:50.2351703Z Nested mountpoint 
2025-08-08T22:45:50.2751178Z Nested mountpoint 
2025-08-08T22:45:51.9240385Z Creating container.
2025-08-08T22:45:51.9380186Z Creating pipes for streaming container io.
2025-08-08T22:45:51.9483420Z Creating stdout named pipe at /podr/container/pipe/24b190aba07a_newsroom-ai/stdout_8ee73469c4f84bf4984e3b719dc409bb.
2025-08-08T22:45:51.9505905Z Successfully created stdout named pipe at: /podr/container/pipe/24b190aba07a_newsroom-ai/stdout_8ee73469c4f84bf4984e3b719dc409bb.
2025-08-08T22:45:51.9513195Z Opening named pipe /podr/container/pipe/24b190aba07a_newsroom-ai/stdout_8ee73469c4f84bf4984e3b719dc409bb for reading in non-blocking mode.
2025-08-08T22:45:51.9592491Z Successfully opened named pipe: /podr/container/pipe/24b190aba07a_newsroom-ai/stdout_8ee73469c4f84bf4984e3b719dc409bb.
2025-08-08T22:45:51.9599322Z Successfully removed non-blocking flag from /podr/container/pipe/24b190aba07a_newsroom-ai/stdout_8ee73469c4f84bf4984e3b719dc409bb.
2025-08-08T22:45:51.9687798Z Creating stderr named pipe at /podr/container/pipe/24b190aba07a_newsroom-ai/stderr_d142cf29f2e74d4490da017aeacd05c0.
2025-08-08T22:45:51.9795997Z Successfully created stderr named pipe at: /podr/container/pipe/24b190aba07a_newsroom-ai/stderr_d142cf29f2e74d4490da017aeacd05c0.
2025-08-08T22:45:51.9879578Z Opening named pipe /podr/container/pipe/24b190aba07a_newsroom-ai/stderr_d142cf29f2e74d4490da017aeacd05c0 for reading in non-blocking mode.
2025-08-08T22:45:51.9897988Z Successfully opened named pipe: /podr/container/pipe/24b190aba07a_newsroom-ai/stderr_d142cf29f2e74d4490da017aeacd05c0.
2025-08-08T22:45:51.9968631Z Successfully removed non-blocking flag from /podr/container/pipe/24b190aba07a_newsroom-ai/stderr_d142cf29f2e74d4490da017aeacd05c0.
2025-08-08T22:45:51.9986373Z Creating container with image: appsvc/python:3.11_20250723.2.tuxprod from registry: 10.1.0.4:13209 and fully qualified image name: 10.1.0.4:13209/appsvc/python:3.11_20250723.2.tuxprod
2025-08-08T22:45:53.0952431Z Starting container: 24b190aba07a_newsroom-ai.
2025-08-08T22:45:53.2132139Z Starting watchers and probes.
2025-08-08T22:45:53.2630242Z Starting metrics collection.
2025-08-08T22:45:53.2829738Z Container is running.
2025-08-08T22:45:54.2309858Z Container start method finished after 114815 ms.
2025-08-08T22:46:27.0967384Z Container has finished running with exit code: 1.
2025-08-08T22:46:27.1274307Z Container is terminating. Grace period: 5 seconds.
2025-08-08T22:46:27.1928354Z Stop and delete container. Retry count = 0
2025-08-08T22:46:27.1953335Z Stopping container: 24b190aba07a_newsroom-ai.
2025-08-08T22:46:27.4090582Z Deleting container: 24b190aba07a_newsroom-ai. Retry count = 0
2025-08-08T22:46:29.0135333Z Container spec TerminationMessagePolicy  path 
2025-08-08T22:46:29.0255170Z Container is terminated. Total time elapsed: 1887 ms.
2025-08-08T22:46:29.0327256Z Site container: newsroom-ai terminated during site startup.
2025-08-08T22:46:29.0418370Z Site startup probe failed after 34.6216606 seconds.
2025-08-08T22:46:29.1381980Z Failed to start site. Revert by stopping site.
2025-08-08T22:46:29.1773917Z Site: newsroom-ai stopped.
2025-08-08T22:46:43.755Z INFO  - 3.11_20250723.2.tuxprod Pulling from appsvc/python
2025-08-08T22:46:43.782Z INFO  - 2d765646d883 Pulling fs layer
2025-08-08T22:46:43.922Z INFO  - ab9b3215ece1 Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - 4f4fb700ef54 Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - c8c26152a642 Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - c56fb4a3b0da Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - dbf7ae5d9c63 Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - 220c52d5c00f Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - 21afad33996d Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - a83dfeaf7e13 Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - 8229bfef2880 Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - a829e5e6c9f1 Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - 43b3f19a5f7b Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - 7a953f5c3c0b Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - edafa92cab42 Pulling fs layer
2025-08-08T22:46:43.929Z INFO  - 5e03e1f8cc28 Pulling fs layer
2025-08-08T22:46:43.930Z INFO  - 78ee667486be Pulling fs layer
2025-08-08T22:46:43.960Z INFO  - 1c6a5ee9f4e9 Pulling fs layer
2025-08-08T22:46:43.960Z INFO  - e8b550749e66 Pulling fs layer
2025-08-08T22:46:43.960Z INFO  - d15bc914a9c3 Pulling fs layer
2025-08-08T22:46:43.960Z INFO  - d33500780c7d Pulling fs layer
2025-08-08T22:46:43.960Z INFO  - 0a83b955bad1 Pulling fs layer
2025-08-08T22:46:43.960Z INFO  - ae62b20f0e06 Pulling fs layer
2025-08-08T22:46:43.960Z INFO  - 038c2b53fe5f Pulling fs layer
2025-08-08T22:46:43.961Z INFO  - d75c6794473c Pulling fs layer
2025-08-08T22:46:43.961Z INFO  - b049d305a6a1 Pulling fs layer
2025-08-08T22:46:44.148Z INFO  - a44dc634b318 Pulling fs layer
2025-08-08T22:46:44.148Z INFO  - 27073c19c451 Pulling fs layer
2025-08-08T22:46:44.148Z INFO  - 13527115d99f Pulling fs layer
2025-08-08T22:46:44.148Z INFO  - bf0fdaeeb3f7 Pulling fs layer
2025-08-08T22:46:44.148Z INFO  - 5102baefcdc8 Pulling fs layer
2025-08-08T22:46:44.148Z INFO  - 1025e0b47ade Pulling fs layer
2025-08-08T22:46:44.148Z INFO  - 0a83b955bad1 Waiting
2025-08-08T22:46:44.155Z INFO  - ae62b20f0e06 Waiting
2025-08-08T22:46:44.155Z INFO  - 038c2b53fe5f Waiting
2025-08-08T22:46:44.155Z INFO  - d75c6794473c Waiting
2025-08-08T22:46:44.155Z INFO  - b049d305a6a1 Waiting
2025-08-08T22:46:44.155Z INFO  - a44dc634b318 Waiting
2025-08-08T22:46:44.155Z INFO  - 27073c19c451 Waiting
2025-08-08T22:46:44.155Z INFO  - 13527115d99f Waiting
2025-08-08T22:46:44.155Z INFO  - bf0fdaeeb3f7 Waiting
2025-08-08T22:46:44.155Z INFO  - 5102baefcdc8 Waiting
